IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
1051,A15-A34,M,2022-03-09,2022-03-09,0,0,-9,0,82,0,82
1051,A35-A59,M,2022-03-09,2022-03-09,0,0,-9,0,69,0,69
1051,A00-A04,M,2022-03-09,2022-03-09,0,0,-9,0,3,0,3
1051,A60-A79,M,2022-03-09,2022-03-09,0,0,-9,0,19,0,19
1051,A05-A14,M,2022-03-09,2022-03-09,0,0,-9,0,40,0,40
1051,A80+,M,2022-03-09,2022-03-09,0,0,-9,0,6,0,6
1051,A05-A14,unbekannt,2022-03-09,2022-03-09,0,0,-9,0,2,0,2
1051,A35-A59,W,2022-03-09,2022-03-09,0,0,-9,0,78,0,78
1051,A00-A04,W,2022-03-09,2022-03-09,0,0,-9,0,7,0,7
1051,A15-A34,W,2022-03-09,2022-03-09,0,0,-9,0,80,0,80
1051,A05-A14,W,2022-03-09,2022-03-09,0,0,-9,0,43,0,43
1051,A60-A79,W,2022-03-09,2022-03-09,0,0,-9,0,13,0,13
1051,A80+,W,2022-03-09,2022-03-09,0,0,-9,0,2,0,2
1051,A15-A34,M,2022-03-09,2022-03-09,0,0,-9,0,82,0,82
1051,A35-A59,M,2022-03-09,2022-03-09,0,0,-9,0,69,0,69
1051,A00-A04,M,2022-03-09,2022-03-09,0,0,-9,0,3,0,3
1051,A60-A79,M,2022-03-09,2022-03-09,0,0,-9,0,19,0,19
1051,A05-A14,M,2022-03-09,2022-03-09,0,0,-9,0,40,0,40
1051,A80+,M,2022-03-09,2022-03-09,0,0,-9,0,6,0,6
1051,A05-A14,unbekannt,2022-03-09,2022-03-09,0,0,-9,0,2,0,2
1051,A35-A59,W,2022-03-09,2022-03-09,0,0,-9,0,78,0,78
1051,A00-A04,W,2022-03-09,2022-03-09,0,0,-9,0,7,0,7
1051,A15-A34,W,2022-03-09,2022-03-09,0,0,-9,0,80,0,80
1051,A05-A14,W,2022-03-09,2022-03-09,0,0,-9,0,43,0,43
1051,A60-A79,W,2022-03-09,2022-03-09,0,0,-9,0,13,0,13
1051,A80+,W,2022-03-09,2022-03-09,0,0,-9,0,2,0,2
